weight_scale,sigma,R_effective,mode,mode_variant,n_effective,phase_label,success_rate,avg_rcp
1.0,0.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.1,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.2,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.3,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.4,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.5,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.6,3,adaptive,adaptive_heuristic_n1,1,good,1.00,384.0
1.0,0.7,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,0.8,3,adaptive,adaptive_heuristic_n1,1,good,1.00,384.0
1.0,0.9,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,1.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
1.0,1.1,3,adaptive,adaptive_heuristic_n1,1,good,1.00,408.0
1.0,1.2,3,adaptive,adaptive_heuristic_n1,1,good,1.00,420.0
1.0,1.3,3,adaptive,adaptive_heuristic_n1,1,good,1.00,600.0
1.0,1.4,3,adaptive,adaptive_heuristic_n1,1,good,1.00,372.0
1.0,1.5,3,adaptive,adaptive_heuristic_n1,1,good,1.00,456.0
1.0,1.6,3,adaptive,adaptive_heuristic_n1,1,good,1.00,552.0
1.0,1.7,3,adaptive,adaptive_heuristic_n1,1,good,1.00,672.0
1.0,1.8,3,adaptive,adaptive_heuristic_n1,1,good,1.00,456.0
1.0,1.9,3,adaptive,adaptive_heuristic_n1,1,good,1.00,612.0
1.0,2.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,528.0
0.5,0.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
0.5,0.1,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
0.5,0.2,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
0.5,0.3,3,adaptive,adaptive_heuristic_n1,1,good,1.00,396.0
0.5,0.4,3,adaptive,adaptive_heuristic_n1,1,good,1.00,468.0
0.5,0.5,3,adaptive,adaptive_heuristic_n1,1,good,1.00,384.0
0.5,0.6,3,adaptive,adaptive_heuristic_n1,1,good,1.00,408.0
0.5,0.7,3,adaptive,adaptive_heuristic_n1,1,good,1.00,540.0
0.5,0.8,3,adaptive,adaptive_heuristic_n1,1,good,1.00,672.0
0.5,0.9,3,adaptive,adaptive_heuristic_n1,1,good,1.00,684.0
0.5,1.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,792.0
0.5,1.1,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1608.0
0.5,1.2,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1104.0
0.5,1.3,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1536.0
0.5,1.4,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1428.0
0.5,1.5,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1584.0
0.5,1.6,3,adaptive,adaptive_heuristic_n1,1,good,1.00,1296.0
0.5,1.7,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1716.0
0.5,1.8,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.5,1.9,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.5,2.0,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.2,0.0,3,adaptive,adaptive_heuristic_n1,1,good,1.00,420.0
0.2,0.1,3,adaptive,adaptive_heuristic_n1,1,good,1.00,1344.0
0.2,0.2,3,adaptive,adaptive_heuristic_n1,1,good,1.00,1680.0
0.2,0.3,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.2,0.4,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.2,0.5,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1368.0
0.2,0.6,3,adaptive,adaptive_heuristic_n1,1,edge,0.67,1800.0
0.2,0.7,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.2,0.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,0.9,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.2,1.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.2,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.2,1.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.4,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.2,1.5,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.2,1.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,1.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.2,2.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,432.0
0.1,0.1,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.1,0.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.5,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.1,0.6,3,adaptive,adaptive_heuristic_n1,1,edge,0.33,1800.0
0.1,0.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,0.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,1.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.1,2.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,432.0
0.05,0.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,0.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.1,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.2,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.3,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.4,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.5,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.6,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.7,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.8,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,1.9,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
0.05,2.0,3,adaptive,adaptive_heuristic_n1,1,fail,0.00,1800.0
