weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps
1.0,0.0,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.1,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.2,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.3,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.4,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.5,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.6,5,1.00,11.0,396.0,0.999,3,0.2,50
1.0,0.7,5,1.00,11.2,403.2,0.999,3,0.2,50
1.0,0.8,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,0.9,5,1.00,10.4,374.4,0.999,3,0.2,50
1.0,1.0,5,1.00,10.8,388.8,0.999,3,0.2,50
1.0,1.1,5,1.00,11.8,424.8,0.999,3,0.2,50
1.0,1.2,5,1.00,11.4,410.4,0.999,3,0.2,50
1.0,1.3,5,1.00,12.2,439.2,0.999,3,0.2,50
1.0,1.4,5,1.00,13.4,482.4,0.999,3,0.2,50
1.0,1.5,5,1.00,13.6,489.6,0.999,3,0.2,50
1.0,1.6,5,1.00,11.8,424.8,0.999,3,0.2,50
1.0,1.7,5,1.00,16.2,583.2,0.999,3,0.2,50
1.0,1.8,5,1.00,28.0,1008.0,0.991,3,0.2,50
1.0,1.9,5,1.00,20.0,720.0,0.999,3,0.2,50
1.0,2.0,5,1.00,15.0,540.0,0.999,3,0.2,50
0.5,0.0,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.1,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.2,5,1.00,11.0,396.0,0.999,3,0.2,50
0.5,0.3,5,1.00,11.2,403.2,0.999,3,0.2,50
0.5,0.4,5,1.00,11.2,403.2,0.999,3,0.2,50
0.5,0.5,5,1.00,11.6,417.6,0.999,3,0.2,50
0.5,0.6,5,1.00,13.4,482.4,0.999,3,0.2,50
0.5,0.7,5,1.00,17.4,626.4,0.999,3,0.2,50
0.5,0.8,5,1.00,17.8,640.8,0.999,3,0.2,50
0.5,0.9,5,1.00,21.8,784.8,0.999,3,0.2,50
0.5,1.0,5,1.00,22.4,806.4,0.999,3,0.2,50
0.5,1.1,5,1.00,35.6,1281.6,0.986,3,0.2,50
0.5,1.2,5,0.80,29.0,1044.0,0.972,3,0.2,50
0.5,1.3,5,1.00,32.0,1152.0,0.999,3,0.2,50
0.5,1.4,5,0.80,45.8,1648.8,0.951,3,0.2,50
0.5,1.5,5,0.80,37.6,1353.6,0.905,3,0.2,50
0.5,1.6,5,0.60,50.0,1800.0,0.810,3,0.2,50
0.5,1.7,5,0.40,41.0,1476.0,0.761,3,0.2,50
0.5,1.8,5,0.60,47.0,1692.0,0.865,3,0.2,50
0.5,1.9,5,0.20,50.0,1800.0,0.807,3,0.2,50
0.5,2.0,5,0.00,50.0,1800.0,0.781,3,0.2,50
0.2,0.0,5,1.00,12.0,432.0,0.986,3,0.2,50
0.2,0.1,5,1.00,27.0,972.0,0.986,3,0.2,50
0.2,0.2,5,1.00,36.4,1310.4,0.978,3,0.2,50
0.2,0.3,5,0.60,50.0,1800.0,0.919,3,0.2,50
0.2,0.4,5,0.60,48.4,1742.4,0.924,3,0.2,50
0.2,0.5,5,0.80,42.4,1526.4,0.924,3,0.2,50
0.2,0.6,5,0.20,50.0,1800.0,0.738,3,0.2,50
0.2,0.7,5,0.60,50.0,1800.0,0.837,3,0.2,50
0.2,0.8,5,0.00,50.0,1800.0,0.720,3,0.2,50
0.2,0.9,5,0.40,50.0,1800.0,0.784,3,0.2,50
0.2,1.0,5,0.00,50.0,1800.0,0.706,3,0.2,50
0.2,1.1,5,0.00,50.0,1800.0,0.674,3,0.2,50
0.2,1.2,5,0.20,50.0,1800.0,0.777,3,0.2,50
0.2,1.3,5,0.00,50.0,1800.0,0.644,3,0.2,50
0.2,1.4,5,0.00,50.0,1800.0,0.568,3,0.2,50
0.2,1.5,5,0.20,50.0,1800.0,0.774,3,0.2,50
0.2,1.6,5,0.20,50.0,1800.0,0.688,3,0.2,50
0.2,1.7,5,0.20,50.0,1800.0,0.708,3,0.2,50
0.2,1.8,5,0.00,50.0,1800.0,0.662,3,0.2,50
0.2,1.9,5,0.20,50.0,1800.0,0.673,3,0.2,50
0.2,2.0,5,0.00,50.0,1800.0,0.701,3,0.2,50
0.1,0.0,5,0.00,12.0,432.0,0.858,3,0.2,50
0.1,0.1,5,0.00,50.0,1800.0,0.850,3,0.2,50
0.1,0.2,5,0.00,50.0,1800.0,0.787,3,0.2,50
0.1,0.3,5,0.00,50.0,1800.0,0.604,3,0.2,50
0.1,0.4,5,0.00,50.0,1800.0,0.589,3,0.2,50
0.1,0.5,5,0.20,50.0,1800.0,0.604,3,0.2,50
0.1,0.6,5,0.20,50.0,1800.0,0.693,3,0.2,50
0.1,0.7,5,0.00,50.0,1800.0,0.620,3,0.2,50
0.1,0.8,5,0.00,50.0,1800.0,0.637,3,0.2,50
0.1,0.9,5,0.20,50.0,1800.0,0.710,3,0.2,50
0.1,1.0,5,0.20,50.0,1800.0,0.631,3,0.2,50
0.1,1.1,5,0.00,50.0,1800.0,0.657,3,0.2,50
0.1,1.2,5,0.00,50.0,1800.0,0.571,3,0.2,50
0.1,1.3,5,0.00,50.0,1800.0,0.538,3,0.2,50
0.1,1.4,5,0.00,50.0,1800.0,0.622,3,0.2,50
0.1,1.5,5,0.00,50.0,1800.0,0.596,3,0.2,50
0.1,1.6,5,0.00,50.0,1800.0,0.637,3,0.2,50
0.1,1.7,5,0.00,50.0,1800.0,0.626,3,0.2,50
0.1,1.8,5,0.00,50.0,1800.0,0.613,3,0.2,50
0.1,1.9,5,0.00,50.0,1800.0,0.608,3,0.2,50
0.1,2.0,5,0.00,50.0,1800.0,0.591,3,0.2,50
0.05,0.0,5,0.00,12.0,432.0,0.635,3,0.2,50
0.05,0.1,5,0.00,50.0,1800.0,0.548,3,0.2,50
0.05,0.2,5,0.00,50.0,1800.0,0.618,3,0.2,50
0.05,0.3,5,0.00,50.0,1800.0,0.631,3,0.2,50
0.05,0.4,5,0.00,50.0,1800.0,0.462,3,0.2,50
0.05,0.5,5,0.00,50.0,1800.0,0.638,3,0.2,50
0.05,0.6,5,0.00,50.0,1800.0,0.550,3,0.2,50
0.05,0.7,5,0.00,50.0,1800.0,0.468,3,0.2,50
0.05,0.8,5,0.00,50.0,1800.0,0.635,3,0.2,50
0.05,0.9,5,0.00,50.0,1800.0,0.670,3,0.2,50
0.05,1.0,5,0.00,50.0,1800.0,0.603,3,0.2,50
0.05,1.1,5,0.00,50.0,1800.0,0.562,3,0.2,50
0.05,1.2,5,0.00,50.0,1800.0,0.567,3,0.2,50
0.05,1.3,5,0.00,50.0,1800.0,0.580,3,0.2,50
0.05,1.4,5,0.00,50.0,1800.0,0.637,3,0.2,50
0.05,1.5,5,0.00,50.0,1800.0,0.563,3,0.2,50
0.05,1.6,5,0.00,50.0,1800.0,0.514,3,0.2,50
0.05,1.7,5,0.00,50.0,1800.0,0.534,3,0.2,50
0.05,1.8,5,0.00,50.0,1800.0,0.526,3,0.2,50
0.05,1.9,5,0.00,50.0,1800.0,0.607,3,0.2,50
0.05,2.0,5,0.00,50.0,1800.0,0.574,3,0.2,50
